ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1,CreditScoreGroup
24890,2019,cf,"sex not available",nopre,type1,p1,l1,nopc,nob/c,116500,3.99,0.3904,2596.45,360,not_neg,not_int,not_lpsm,118000,sb,pr,home,1u,1740,exp,758,cib,25-34,to_inst,98.72881356,south,direct,1,45,700-800
24891,2019,cf,male,nopre,type2,p1,l1,nopc,b/c,206500,3.99,0.3904,2596.45,360,not_neg,not_int,lpsm,418000,sb,pr,home,1u,4980,equi,552,exp,55-64,to_inst,75.13586957,north,direct,1,39,500-600
24892,2019,cf,male,pre,type1,p1,l1,nopc,nob/c,406500,4.56,0.2,595,360,neg_amm,not_int,not_lpsm,508000,sb,pr,home,1u,9480,exp,834,cib,35-44,to_inst,80.01968504,south,direct,0,46,800-900
24893,2019,cf,male,nopre,type1,p4,l1,nopc,nob/c,456500,4.25,0.681,2596.45,360,not_neg,not_int,not_lpsm,658000,sb,pr,home,1u,11880,exp,587,cib,45-54,not_inst,69.3768997,north,direct,0,42,500-600
24894,2019,cf,joint,pre,type1,p1,l1,nopc,nob/c,696500,4,0.3042,0,360,not_neg,not_int,not_lpsm,758000,sb,pr,home,1u,10440,crif,602,exp,25-34,not_inst,91.88654354,north,direct,0,39,600-700
24895,2019,cf,joint,pre,type1,p1,l1,nopc,nob/c,706500,3.99,0.1523,370,360,not_neg,not_int,not_lpsm,1008000,sb,pr,home,1u,10080,exp,864,exp,35-44,not_inst,70.08928571,north,direct,0,40,800-900
24896,2019,cf,joint,pre,type1,p3,l1,nopc,nob/c,346500,4.5,0.9998,5120,360,not_neg,not_int,not_lpsm,438000,sb,pr,home,1u,5040,exp,860,exp,55-64,to_inst,79.10958904,north,direct,0,44,800-900
24897,2019,cf,female,nopre,type1,p4,l1,nopc,nob/c,266500,4.125,0.2975,5609.88,360,not_neg,not_int,not_lpsm,308000,sb,pr,home,1u,3780,cib,863,cib,55-64,to_inst,86.52597403,north,direct,0,42,800-900
24898,2019,cf,joint,nopre,type1,p3,l1,nopc,nob/c,376500,4.875,0.7395,1150,360,not_neg,not_int,not_lpsm,478000,sb,pr,home,1u,5580,cib,580,exp,55-64,to_inst,78.76569038,central,direct,0,44,500-600
24899,2019,cf,"sex not available",nopre,type3,p3,l1,nopc,nob/c,436500,3.49,-0.2776,2316.5,360,not_neg,not_int,not_lpsm,688000,sb,pr,home,1u,6720,cib,788,exp,55-64,to_inst,63.44476744,south,direct,0,30,700-800
